media,calibrant,protein,replicate,volume,well
T5N15,BSA,BSA,1,225,A1
T5N15,BSA,BSA,1,225,A2
T5N15,BSA,BSA,1,225,A3
T5N15,BSA,BSA,1,225,A4
T5N15,BSA,BSA,1,225,A5
T5N15,BSA,BSA,1,225,A6
T5N15,BSA,BSA,1,225,A7
T5N15,BSA,BSA,1,225,A8
T5N15,BSA,,1,225,A9
T5N15,BSA,,1,225,A10
T5N15,BSA,,1,225,A11
T5N15,BSA,none,1,225,A12
T5N15,BSA,BSA,2,225,B1
T5N15,BSA,BSA,2,225,B2
T5N15,BSA,BSA,2,225,B3
T5N15,BSA,BSA,2,225,B4
T5N15,BSA,BSA,2,225,B5
T5N15,BSA,BSA,2,225,B6
T5N15,BSA,BSA,2,225,B7
T5N15,BSA,BSA,2,225,B8
T5N15,BSA,,2,225,B9
T5N15,BSA,,2,225,B10
T5N15,BSA,,2,225,B11
T5N15,BSA,none,2,225,B12
T5N15,mTagBFP2,mTagBFP2,1,225,C1
T5N15,mTagBFP2,mTagBFP2,1,225,C2
T5N15,mTagBFP2,mTagBFP2,1,225,C3
T5N15,mTagBFP2,mTagBFP2,1,225,C4
T5N15,mTagBFP2,mTagBFP2,1,225,C5
T5N15,mTagBFP2,mTagBFP2,1,225,C6
T5N15,mTagBFP2,mTagBFP2,1,225,C7
T5N15,mTagBFP2,mTagBFP2,1,225,C8
T5N15,mTagBFP2,,1,225,C9
T5N15,mTagBFP2,,1,225,C10
T5N15,mTagBFP2,,1,225,C11
T5N15,mTagBFP2,none,1,225,C12
T5N15,mTagBFP2,mTagBFP2,2,225,D1
T5N15,mTagBFP2,mTagBFP2,2,225,D2
T5N15,mTagBFP2,mTagBFP2,2,225,D3
T5N15,mTagBFP2,mTagBFP2,2,225,D4
T5N15,mTagBFP2,mTagBFP2,2,225,D5
T5N15,mTagBFP2,mTagBFP2,2,225,D6
T5N15,mTagBFP2,mTagBFP2,2,225,D7
T5N15,mTagBFP2,mTagBFP2,2,225,D8
T5N15,mTagBFP2,,2,225,D9
T5N15,mTagBFP2,,2,225,D10
T5N15,mTagBFP2,,2,225,D11
T5N15,mTagBFP2,none,2,225,D12
T5N15_pi,BSA,BSA,1,225,E1
T5N15_pi,BSA,BSA,1,225,E2
T5N15_pi,BSA,BSA,1,225,E3
T5N15_pi,BSA,BSA,1,225,E4
T5N15_pi,BSA,BSA,1,225,E5
T5N15_pi,BSA,BSA,1,225,E6
T5N15_pi,BSA,BSA,1,225,E7
T5N15_pi,BSA,BSA,1,225,E8
T5N15_pi,BSA,,1,225,E9
T5N15_pi,BSA,,1,225,E10
T5N15_pi,BSA,,1,225,E11
T5N15_pi,BSA,none,1,225,E12
T5N15_pi,BSA,BSA,2,225,F1
T5N15_pi,BSA,BSA,2,225,F2
T5N15_pi,BSA,BSA,2,225,F3
T5N15_pi,BSA,BSA,2,225,F4
T5N15_pi,BSA,BSA,2,225,F5
T5N15_pi,BSA,BSA,2,225,F6
T5N15_pi,BSA,BSA,2,225,F7
T5N15_pi,BSA,BSA,2,225,F8
T5N15_pi,BSA,,2,225,F9
T5N15_pi,BSA,,2,225,F10
T5N15_pi,BSA,,2,225,F11
T5N15_pi,BSA,none,2,225,F12
T5N15_pi,mTagBFP2,mTagBFP2,1,225,G1
T5N15_pi,mTagBFP2,mTagBFP2,1,225,G2
T5N15_pi,mTagBFP2,mTagBFP2,1,225,G3
T5N15_pi,mTagBFP2,mTagBFP2,1,225,G4
T5N15_pi,mTagBFP2,mTagBFP2,1,225,G5
T5N15_pi,mTagBFP2,mTagBFP2,1,225,G6
T5N15_pi,mTagBFP2,mTagBFP2,1,225,G7
T5N15_pi,mTagBFP2,mTagBFP2,1,225,G8
T5N15_pi,mTagBFP2,,1,225,G9
T5N15_pi,mTagBFP2,,1,225,G10
T5N15_pi,mTagBFP2,,1,225,G11
T5N15_pi,mTagBFP2,none,1,225,G12
T5N15_pi,mTagBFP2,mTagBFP2,2,225,H1
T5N15_pi,mTagBFP2,,2,225,H2
T5N15_pi,mTagBFP2,mTagBFP2,2,225,H3
T5N15_pi,mTagBFP2,mTagBFP2,2,225,H4
T5N15_pi,mTagBFP2,mTagBFP2,2,225,H5
T5N15_pi,mTagBFP2,mTagBFP2,2,225,H6
T5N15_pi,mTagBFP2,mTagBFP2,2,225,H7
T5N15_pi,mTagBFP2,mTagBFP2,2,225,H8
T5N15_pi,mTagBFP2,,2,225,H9
T5N15_pi,mTagBFP2,,2,225,H10
T5N15_pi,mTagBFP2,,2,225,H11
T5N15_pi,mTagBFP2,none,2,225,H12
