instrument,plate,seal,channel_name,channel_ex,channel_em,media,calibrant,protein,replicate,mw_gmol1,concentration_ngul,dilution,rev_dilution,volume,well
spark1,uvclear,noseal,spectra,na,na,T5N15,BSA,BSA,1,,200,1,1,225,A1
spark1,uvclear,noseal,spectra,na,na,T5N15,BSA,BSA,1,,100,0.5,2,225,A2
spark1,uvclear,noseal,spectra,na,na,T5N15,BSA,BSA,1,,50,0.25,3,225,A3
spark1,uvclear,noseal,spectra,na,na,T5N15,BSA,BSA,1,,25,0.125,4,225,A4
spark1,uvclear,noseal,spectra,na,na,T5N15,BSA,BSA,1,,12.5,0.0625,5,225,A5
spark1,uvclear,noseal,spectra,na,na,T5N15,BSA,BSA,1,,6.25,0.03125,6,225,A6
spark1,uvclear,noseal,spectra,na,na,T5N15,BSA,BSA,1,,3.125,0.015625,7,225,A7
spark1,uvclear,noseal,spectra,na,na,T5N15,BSA,BSA,1,,1.5625,0.0078125,8,225,A8
spark1,uvclear,noseal,spectra,na,na,T5N15,BSA,BSA,1,,0.78125,0.00390625,9,225,A9
spark1,uvclear,noseal,spectra,na,na,T5N15,BSA,BSA,1,,0.390625,0.001953125,10,225,A10
spark1,uvclear,noseal,spectra,na,na,T5N15,BSA,BSA,1,,0.1953125,0.000976563,11,225,A11
spark1,uvclear,noseal,spectra,na,na,T5N15,BSA,none,1,,0,,,225,A12
spark1,uvclear,noseal,spectra,na,na,T5N15,BSA,BSA,2,,20,1,1,225,B1
spark1,uvclear,noseal,spectra,na,na,T5N15,BSA,BSA,2,,10,0.5,2,225,B2
spark1,uvclear,noseal,spectra,na,na,T5N15,BSA,BSA,2,,5,0.25,3,225,B3
spark1,uvclear,noseal,spectra,na,na,T5N15,BSA,BSA,2,,2.5,0.125,4,225,B4
spark1,uvclear,noseal,spectra,na,na,T5N15,BSA,BSA,2,,1.25,0.0625,5,225,B5
spark1,uvclear,noseal,spectra,na,na,T5N15,BSA,BSA,2,,0.625,0.03125,6,225,B6
spark1,uvclear,noseal,spectra,na,na,T5N15,BSA,BSA,2,,0.3125,0.015625,7,225,B7
spark1,uvclear,noseal,spectra,na,na,T5N15,BSA,BSA,2,,0.15625,0.0078125,8,225,B8
spark1,uvclear,noseal,spectra,na,na,T5N15,BSA,BSA,2,,0.078125,0.00390625,9,225,B9
spark1,uvclear,noseal,spectra,na,na,T5N15,BSA,BSA,2,,0.0390625,0.001953125,10,225,B10
spark1,uvclear,noseal,spectra,na,na,T5N15,BSA,BSA,2,,0.01953125,0.000976563,11,225,B11
spark1,uvclear,noseal,spectra,na,na,T5N15,BSA,none,2,,0,,,225,B12
spark1,uvclear,noseal,spectra,na,na,T5N15,mTagBFP2,mTagBFP2,1,,,1,1,225,C1
spark1,uvclear,noseal,spectra,na,na,T5N15,mTagBFP2,mTagBFP2,1,,,0.5,2,225,C2
spark1,uvclear,noseal,spectra,na,na,T5N15,mTagBFP2,mTagBFP2,1,,,0.25,3,225,C3
spark1,uvclear,noseal,spectra,na,na,T5N15,mTagBFP2,mTagBFP2,1,,,0.125,4,225,C4
spark1,uvclear,noseal,spectra,na,na,T5N15,mTagBFP2,mTagBFP2,1,,,0.0625,5,225,C5
spark1,uvclear,noseal,spectra,na,na,T5N15,mTagBFP2,mTagBFP2,1,,,0.03125,6,225,C6
spark1,uvclear,noseal,spectra,na,na,T5N15,mTagBFP2,mTagBFP2,1,,,0.015625,7,225,C7
spark1,uvclear,noseal,spectra,na,na,T5N15,mTagBFP2,mTagBFP2,1,,,0.0078125,8,225,C8
spark1,uvclear,noseal,spectra,na,na,T5N15,mTagBFP2,mTagBFP2,1,,,0.00390625,9,225,C9
spark1,uvclear,noseal,spectra,na,na,T5N15,mTagBFP2,mTagBFP2,1,,,0.001953125,10,225,C10
spark1,uvclear,noseal,spectra,na,na,T5N15,mTagBFP2,mTagBFP2,1,,,0.000976563,11,225,C11
spark1,uvclear,noseal,spectra,na,na,T5N15,mTagBFP2,none,1,,0,,,225,C12
spark1,uvclear,noseal,spectra,na,na,T5N15,mTagBFP2,mTagBFP2,2,,,1,1,225,D1
