media,calibrant,protein,replicate,mw_gmol1,concentration_ngul,dilution,rev_dilution,volume,well
T5N15,BSA,BSA,1,,200,1,1,150,A1
T5N15,BSA,BSA,1,,100,0.5,2,150,A2
T5N15,BSA,BSA,1,,50,0.25,3,150,A3
T5N15,BSA,BSA,1,,25,0.125,4,150,A4
T5N15,BSA,BSA,1,,12.5,0.0625,5,150,A5
T5N15,BSA,BSA,1,,6.25,0.03125,6,150,A6
T5N15,BSA,BSA,1,,3.125,0.015625,7,150,A7
T5N15,BSA,BSA,1,,1.5625,0.0078125,8,150,A8
T5N15,BSA,,1,,0.78125,0.00390625,9,150,A9
T5N15,BSA,,1,,0.390625,0.001953125,10,150,A10
T5N15,BSA,,1,,0.1953125,0.000976563,11,150,A11
T5N15,BSA,none,1,,0,,,150,A12
T5N15,BSA,BSA,2,,200,1,1,150,B1
T5N15,BSA,BSA,2,,100,0.5,2,150,B2
T5N15,BSA,BSA,2,,50,0.25,3,150,B3
T5N15,BSA,BSA,2,,25,0.125,4,150,B4
T5N15,BSA,BSA,2,,12.5,0.0625,5,150,B5
T5N15,BSA,BSA,2,,6.25,0.03125,6,150,B6
T5N15,BSA,BSA,2,,3.125,0.015625,7,150,B7
T5N15,BSA,BSA,2,,1.5625,0.0078125,8,150,B8
T5N15,BSA,,2,,0.78125,0.00390625,9,150,B9
T5N15,BSA,,2,,0.390625,0.001953125,10,150,B10
T5N15,BSA,,2,,0.1953125,0.000976563,11,150,B11
T5N15,BSA,none,2,,0,,,150,B12
T5N15,mTagBFP2,mTagBFP2,1,,,1,1,150,C1
T5N15,mTagBFP2,mTagBFP2,1,,,0.5,2,150,C2
T5N15,mTagBFP2,mTagBFP2,1,,,0.25,3,150,C3
T5N15,mTagBFP2,mTagBFP2,1,,,0.125,4,150,C4
T5N15,mTagBFP2,mTagBFP2,1,,,0.0625,5,150,C5
T5N15,mTagBFP2,mTagBFP2,1,,,0.03125,6,150,C6
T5N15,mTagBFP2,mTagBFP2,1,,,0.015625,7,150,C7
T5N15,mTagBFP2,mTagBFP2,1,,,0.0078125,8,150,C8
T5N15,mTagBFP2,,1,,,0.00390625,9,150,C9
T5N15,mTagBFP2,,1,,,0.001953125,10,150,C10
