blueblue040,,,,,,,,,,,,,,,,,,,,,,,,
blueblue050,,,,,,,,,,,,,,,,,,,,,,,,
blueblue060,,,,,,,,,,,,,,,,,,,,,,,,
blueblue070,,,,,,,,,,,,,,,,,,,,,,,,
blueblue080,,,,,,,,,,,,,,,,,,,,,,,,
blueblue090,,,,,,,,,,,,,,,,,,,,,,,,
blueblue100,,,,,,,,,,,,,,,,,,,,,,,,
blueblue110,,,,,,,,,,,,,,,,,,,,,,,,
blueblue120,,,,,,,,,,,,,,,,,,,,,,,,
0s,133,68,36,19,11,7,4,4,3,3,3,3,134,74,35,19,11,6,5,3,3,3,3,3
43s,737,394,219,131,88,65,54,49,46,45,45,43,751,431,219,132,93,66,55,48,46,45,44,46
80s,2960,1588,886,540,370,278,233,213,200,198,194,191,2986,1720,889,546,385,282,238,212,203,195,195,201
118s,9097,4875,2739,1662,1153,861,730,663,631,625,608,595,9180,5292,2718,1676,1199,874,741,666,628,612,611,634
155s,22595,12140,6849,4154,2868,2168,1830,1668,1582,1555,1523,1504,22769,13175,6806,4197,2984,2213,1859,1669,1584,1541,1519,1577
192s,50522,27526,15485,9504,6530,4945,4166,3787,3604,3547,3502,3400,50846,29736,15475,9541,6775,5043,4213,3798,3608,3506,3491,3593
230s,Overflow,57864,32882,20037,13895,10525,8822,8036,7658,7516,7404,7237,Overflow,62560,32743,20245,14413,10656,9000,8077,7668,7426,7389,7657
267s,Overflow,Overflow,64351,39740,27655,20781,17547,15969,15187,14953,14721,14436,Overflow,Overflow,64286,40142,28567,21174,17952,16088,15222,14741,14785,15177
305s,Overflow,Overflow,Overflow,Overflow,51126,38599,32679,29849,28256,27956,27357,26968,Overflow,Overflow,Overflow,Overflow,53189,39288,33177,29973,28389,27555,27489,28279
Date of measurement: ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
4000nm - 4650nm,,,,,,,,,,,,,,,,,,,,,,,,
SPARK,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Name: COS96ft,,,,,,,,,,,,,,,,,,,,,,,,
Plate layout:,,,,,,,,,,,,,,,,,,,,,,,,
Plate area: C1-D12;G1-H12,,,,,,,,,,,,,,,,,,,,,,,,
    ,,,,,,,,,,,,,,,,,,,,,,,,
    Mode: Temperature,,,,,,,,,,,,,,,,,,,,,,,,
    Temperature control: On,,,,,,,,,,,,,,,,,,,,,,,,
    Target temperature: 30 [°C],,,,,,,,,,,,,,,,,,,,,,,,
    Wait minimum: 29.5 [°C],,,,,,,,,,,,,,,,,,,,,,,,
    Wait maximum: 30.5 [°C],,,,,,,,,,,,,,,,,,,,,,,,
