instrument,plate,seal,channel_name,channel_ex,channel_em,media,calibrant,protein,replicate,volume,well
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,1,200,A1
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,1,200,A2
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,1,200,A3
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,1,200,A4
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,1,200,A5
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,1,200,A6
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,1,200,A7
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,1,200,A8
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,1,200,A9
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,1,200,A10
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,1,200,A11
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,none,1,200,A12
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,2,200,B1
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,2,200,B2
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,2,200,B3
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,2,200,B4
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,2,200,B5
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,2,200,B6
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,2,200,B7
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,2,200,B8
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,2,200,B9
spark1,clear,qpcrseal,blueblue,400/20,465/35,T5N15_pi,mTagBFP2,mTagBFP2,2,200,B10
