blueblue040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blueblue050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blueblue060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blueblue070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blueblue080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blueblue090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blueblue100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blueblue110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blueblue120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0s,,,,,,,,,,,,,,,,,,,,,,,,,140,68,33,17,8,5,3,3,3,3,3,4,139,67,32,16,8,4,3,3,3,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,133,68,36,19,11,7,4,4,3,3,3,3,134,74,35,19,11,6,5,3,3,3,3,3
43s,,,,,,,,,,,,,,,,,,,,,,,,,777,392,204,116,70,55,46,44,44,44,45,47,775,390,203,112,69,52,44,43,45,45,45,47,,,,,,,,,,,,,,,,,,,,,,,,,737,394,219,131,88,65,54,49,46,45,45,43,751,431,219,132,93,66,55,48,46,45,44,46
80s,,,,,,,,,,,,,,,,,,,,,,,,,3100,1565,820,477,293,233,199,193,194,196,196,206,3084,1563,823,466,294,223,194,191,196,199,198,205,,,,,,,,,,,,,,,,,,,,,,,,,2960,1588,886,540,370,278,233,213,200,198,194,191,2986,1720,889,546,385,282,238,212,203,195,195,201
118s,,,,,,,,,,,,,,,,,,,,,,,,,9518,4866,2548,1487,925,730,626,605,608,615,619,641,9516,4823,2551,1445,923,702,615,599,622,621,625,647,,,,,,,,,,,,,,,,,,,,,,,,,9097,4875,2739,1662,1153,861,730,663,631,625,608,595,9180,5292,2718,1676,1199,874,741,666,628,612,611,634
155s,,,,,,,,,,,,,,,,,,,,,,,,,23890,12221,6368,3721,2316,1839,1571,1525,1532,1541,1555,1613,23701,12013,6354,3634,2296,1774,1537,1510,1549,1562,1562,1628,,,,,,,,,,,,,,,,,,,,,,,,,22595,12140,6849,4154,2868,2168,1830,1668,1582,1555,1523,1504,22769,13175,6806,4197,2984,2213,1859,1669,1584,1541,1519,1577
192s,,,,,,,,,,,,,,,,,,,,,,,,,53282,27434,14411,8478,5265,4165,3604,3453,3502,3511,3537,3671,52945,27157,14460,8208,5267,4009,3510,3435,3537,3565,3569,3677,,,,,,,,,,,,,,,,,,,,,,,,,50522,27526,15485,9504,6530,4945,4166,3787,3604,3547,3502,3400,50846,29736,15475,9541,6775,5043,4213,3798,3608,3506,3491,3593
230s,,,,,,,,,,,,,,,,,,,,,,,,,Overflow,57846,30664,17965,11197,8890,7642,7383,7459,7457,7596,7782,Overflow,57419,30921,17454,11197,8589,7420,7316,7513,7602,7600,7848,,,,,,,,,,,,,,,,,,,,,,,,,Overflow,57864,32882,20037,13895,10525,8822,8036,7658,7516,7404,7237,Overflow,62560,32743,20245,14413,10656,9000,8077,7668,7426,7389,7657
267s,,,,,,,,,,,,,,,,,,,,,,,,,Overflow,Overflow,60308,35644,22101,17724,15167,14678,14725,14813,14900,15489,Overflow,Overflow,60560,34526,22168,17046,14806,14580,14934,15084,15094,15691,,,,,,,,,,,,,,,,,,,,,,,,,Overflow,Overflow,64351,39740,27655,20781,17547,15969,15187,14953,14721,14436,Overflow,Overflow,64286,40142,28567,21174,17952,16088,15222,14741,14785,15177
305s,,,,,,,,,,,,,,,,,,,,,,,,,Overflow,Overflow,Overflow,Overflow,41390,32859,28118,27325,27595,27575,27774,28845,Overflow,Overflow,Overflow,64018,41425,31462,27565,27191,27880,27959,28174,29212,,,,,,,,,,,,,,,,,,,,,,,,,Overflow,Overflow,Overflow,Overflow,51126,38599,32679,29849,28256,27956,27357,26968,Overflow,Overflow,Overflow,Overflow,53189,39288,33177,29973,28389,27555,27489,28279
Date of measurement: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
