"media","strain","plasmid","inducer","ara_diln_index","ara_pc","volume","well","OD700","blue","row","column"
"","","","","","",NA,"A1",NA,NA,"A",1
"M9","DH10B","pS361","ara","0","0",200,"A2",0.5914,438,"A",2
"M9","DH10B","pS361","ara","0","0",200,"A3",0.5961,439,"A",3
"M9","DH10B","pS361","ara","0","0",200,"A4",0.6014,452,"A",4
"M9","DH10B","pS361","ara","10","0.3",200,"A5",0.6003,442,"A",5
"M9","DH10B","pS361","ara","10","0.3",200,"A6",0.5996,443,"A",6
"M9","DH10B","pS361","ara","10","0.3",200,"A7",0.6,442,"A",7
"M9","DH10B","pS361_ara_mTagBFP2","ara","0","0",200,"A8",0.6001,441,"A",8
"M9","DH10B","pS361_ara_mTagBFP2","ara","0","0",200,"A9",0.5928,437,"A",9
"M9","DH10B","pS361_ara_mTagBFP2","ara","0","0",200,"A10",0.5911,438,"A",10
"M9","none","none","none","none","none",200,"A11",0.0876,483,"A",11
"","","","","","",NA,"A12",NA,NA,"A",12
"","","","","","",NA,"B1",NA,NA,"B",1
"M9","DH10B","pS361_ara_mTagBFP2","ara","2","0.00003",200,"B2",0.6107,1297,"B",2
"M9","DH10B","pS361_ara_mTagBFP2","ara","2","0.00003",200,"B3",0.6017,1316,"B",3
"M9","DH10B","pS361_ara_mTagBFP2","ara","2","0.00003",200,"B4",0.6078,1337,"B",4
"M9","DH10B","pS361_ara_mTagBFP2","ara","3","0.0001",200,"B5",0.6108,2474,"B",5
"M9","DH10B","pS361_ara_mTagBFP2","ara","3","0.0001",200,"B6",0.6051,2363,"B",6
"M9","DH10B","pS361_ara_mTagBFP2","ara","3","0.0001",200,"B7",0.6054,2471,"B",7
"M9","DH10B","pS361_ara_mTagBFP2","ara","4","0.0003",200,"B8",0.5846,3270,"B",8
"M9","DH10B","pS361_ara_mTagBFP2","ara","4","0.0003",200,"B9",0.5808,3546,"B",9
"M9","DH10B","pS361_ara_mTagBFP2","ara","4","0.0003",200,"B10",0.5729,3458,"B",10
"M9","none","none","none","none","none",200,"B11",0.0856,480,"B",11
"","","","","","",NA,"B12",NA,NA,"B",12
"","","","","","",NA,"C1",NA,NA,"C",1
"M9","DH10B","pS361_ara_mTagBFP2","ara","5","0.001",200,"C2",0.5315,4554,"C",2
"M9","DH10B","pS361_ara_mTagBFP2","ara","5","0.001",200,"C3",0.5327,4719,"C",3
"M9","DH10B","pS361_ara_mTagBFP2","ara","5","0.001",200,"C4",0.5358,4739,"C",4
"M9","DH10B","pS361_ara_mTagBFP2","ara","6","0.003",200,"C5",0.5279,6791,"C",5
"M9","DH10B","pS361_ara_mTagBFP2","ara","6","0.003",200,"C6",0.523,6933,"C",6
"M9","DH10B","pS361_ara_mTagBFP2","ara","6","0.003",200,"C7",0.5175,7230,"C",7
"M9","DH10B","pS361_ara_mTagBFP2","ara","7","0.01",200,"C8",0.5109,8936,"C",8
"M9","DH10B","pS361_ara_mTagBFP2","ara","7","0.01",200,"C9",0.501,9415,"C",9
"M9","DH10B","pS361_ara_mTagBFP2","ara","7","0.01",200,"C10",0.5136,8579,"C",10
"M9","none","none","none","none","none",200,"C11",0.0858,468,"C",11
"","","","","","",NA,"C12",NA,NA,"C",12
"","","","","","",NA,"D1",NA,NA,"D",1
"M9","DH10B","pS361_ara_mTagBFP2","ara","8","0.03",200,"D2",0.5057,9619,"D",2
"M9","DH10B","pS361_ara_mTagBFP2","ara","8","0.03",200,"D3",0.4991,9909,"D",3
"M9","DH10B","pS361_ara_mTagBFP2","ara","8","0.03",200,"D4",0.5059,9761,"D",4
"M9","DH10B","pS361_ara_mTagBFP2","ara","9","0.1",200,"D5",0.5126,10704,"D",5
"M9","DH10B","pS361_ara_mTagBFP2","ara","9","0.1",200,"D6",0.5046,10718,"D",6
"M9","DH10B","pS361_ara_mTagBFP2","ara","9","0.1",200,"D7",0.5056,10659,"D",7
"M9","DH10B","pS361_ara_mTagBFP2","ara","10","0.3",200,"D8",0.5053,10113,"D",8
"M9","DH10B","pS361_ara_mTagBFP2","ara","10","0.3",200,"D9",0.5084,10196,"D",9
"M9","DH10B","pS361_ara_mTagBFP2","ara","10","0.3",200,"D10",0.5113,10103,"D",10
"M9","none","none","none","none","none",200,"D11",0.0896,484,"D",11
"","","","","","",NA,"D12",NA,NA,"D",12
"","","","","","",NA,"E1",NA,NA,"E",1
"M9","DH10B","pS381","ara","0","0",200,"E2",0.5971,440,"E",2
"M9","DH10B","pS381","ara","0","0",200,"E3",0.5897,444,"E",3
"M9","DH10B","pS381","ara","0","0",200,"E4",0.5854,441,"E",4
"M9","DH10B","pS381","ara","10","0.3",200,"E5",0.612,447,"E",5
"M9","DH10B","pS381","ara","10","0.3",200,"E6",0.9924,516,"E",6
"M9","DH10B","pS381","ara","10","0.3",200,"E7",0.5911,444,"E",7
"M9","DH10B","pS381_ara_mTagBFP2","ara","0","0",200,"E8",0.5847,447,"E",8
"M9","DH10B","pS381_ara_mTagBFP2","ara","0","0",200,"E9",0.5929,446,"E",9
"M9","DH10B","pS381_ara_mTagBFP2","ara","0","0",200,"E10",0.5811,442,"E",10
"M9","none","none","none","none","none",200,"E11",0.0861,478,"E",11
"","","","","","",NA,"E12",NA,NA,"E",12
"","","","","","",NA,"F1",NA,NA,"F",1
"M9","DH10B","pS381_ara_mTagBFP2","ara","2","0.00003",200,"F2",0.6008,928,"F",2
"M9","DH10B","pS381_ara_mTagBFP2","ara","2","0.00003",200,"F3",0.5937,948,"F",3
"M9","DH10B","pS381_ara_mTagBFP2","ara","2","0.00003",200,"F4",0.5992,967,"F",4
"M9","DH10B","pS381_ara_mTagBFP2","ara","3","0.0001",200,"F5",0.5999,1549,"F",5
"M9","DH10B","pS381_ara_mTagBFP2","ara","3","0.0001",200,"F6",0.5933,1532,"F",6
"M9","DH10B","pS381_ara_mTagBFP2","ara","3","0.0001",200,"F7",0.5965,1522,"F",7
"M9","DH10B","pS381_ara_mTagBFP2","ara","4","0.0003",200,"F8",0.5883,2026,"F",8
"M9","DH10B","pS381_ara_mTagBFP2","ara","4","0.0003",200,"F9",0.5983,1844,"F",9
"M9","DH10B","pS381_ara_mTagBFP2","ara","4","0.0003",200,"F10",0.5771,2073,"F",10
"M9","none","none","none","none","none",200,"F11",0.0853,476,"F",11
"","","","","","",NA,"F12",NA,NA,"F",12
"","","","","","",NA,"G1",NA,NA,"G",1
"M9","DH10B","pS381_ara_mTagBFP2","ara","5","0.001",200,"G2",0.5419,3336,"G",2
"M9","DH10B","pS381_ara_mTagBFP2","ara","5","0.001",200,"G3",0.5302,3494,"G",3
"M9","DH10B","pS381_ara_mTagBFP2","ara","5","0.001",200,"G4",0.5209,3558,"G",4
"M9","DH10B","pS381_ara_mTagBFP2","ara","6","0.003",200,"G5",0.4911,6097,"G",5
"M9","DH10B","pS381_ara_mTagBFP2","ara","6","0.003",200,"G6",0.4788,6159,"G",6
