media,strain,plasmid,inducer,ara_diln_index,ara_pc,volume,well
,,,,,,,A1
M9,DH10B,pS361,ara,0,0,200,A2
M9,DH10B,pS361,ara,0,0,200,A3
M9,DH10B,pS361,ara,0,0,200,A4
M9,DH10B,pS361,ara,10,0.3,200,A5
M9,DH10B,pS361,ara,10,0.3,200,A6
M9,DH10B,pS361,ara,10,0.3,200,A7
M9,DH10B,pS361_ara_mTagBFP2,ara,0,0,200,A8
M9,DH10B,pS361_ara_mTagBFP2,ara,0,0,200,A9
M9,DH10B,pS361_ara_mTagBFP2,ara,0,0,200,A10
M9,none,none,none,none,none,200,A11
,,,,,,,A12
,,,,,,,B1
M9,DH10B,pS361_ara_mTagBFP2,ara,2,0.00003,200,B2
M9,DH10B,pS361_ara_mTagBFP2,ara,2,0.00003,200,B3
M9,DH10B,pS361_ara_mTagBFP2,ara,2,0.00003,200,B4
M9,DH10B,pS361_ara_mTagBFP2,ara,3,0.0001,200,B5
M9,DH10B,pS361_ara_mTagBFP2,ara,3,0.0001,200,B6
M9,DH10B,pS361_ara_mTagBFP2,ara,3,0.0001,200,B7
M9,DH10B,pS361_ara_mTagBFP2,ara,4,0.0003,200,B8
M9,DH10B,pS361_ara_mTagBFP2,ara,4,0.0003,200,B9
M9,DH10B,pS361_ara_mTagBFP2,ara,4,0.0003,200,B10
M9,none,none,none,none,none,200,B11
,,,,,,,B12
,,,,,,,C1
M9,DH10B,pS361_ara_mTagBFP2,ara,5,0.001,200,C2
M9,DH10B,pS361_ara_mTagBFP2,ara,5,0.001,200,C3
M9,DH10B,pS361_ara_mTagBFP2,ara,5,0.001,200,C4
M9,DH10B,pS361_ara_mTagBFP2,ara,6,0.003,200,C5
M9,DH10B,pS361_ara_mTagBFP2,ara,6,0.003,200,C6
M9,DH10B,pS361_ara_mTagBFP2,ara,6,0.003,200,C7
M9,DH10B,pS361_ara_mTagBFP2,ara,7,0.01,200,C8
M9,DH10B,pS361_ara_mTagBFP2,ara,7,0.01,200,C9
M9,DH10B,pS361_ara_mTagBFP2,ara,7,0.01,200,C10
M9,none,none,none,none,none,200,C11
,,,,,,,C12
,,,,,,,D1
M9,DH10B,pS361_ara_mTagBFP2,ara,8,0.03,200,D2
M9,DH10B,pS361_ara_mTagBFP2,ara,8,0.03,200,D3
M9,DH10B,pS361_ara_mTagBFP2,ara,8,0.03,200,D4
M9,DH10B,pS361_ara_mTagBFP2,ara,9,0.1,200,D5
M9,DH10B,pS361_ara_mTagBFP2,ara,9,0.1,200,D6
M9,DH10B,pS361_ara_mTagBFP2,ara,9,0.1,200,D7
M9,DH10B,pS361_ara_mTagBFP2,ara,10,0.3,200,D8
M9,DH10B,pS361_ara_mTagBFP2,ara,10,0.3,200,D9
M9,DH10B,pS361_ara_mTagBFP2,ara,10,0.3,200,D10
M9,none,none,none,none,none,200,D11
,,,,,,,D12
,,,,,,,E1
M9,DH10B,pS381,ara,0,0,200,E2
M9,DH10B,pS381,ara,0,0,200,E3
M9,DH10B,pS381,ara,0,0,200,E4
M9,DH10B,pS381,ara,10,0.3,200,E5
M9,DH10B,pS381,ara,10,0.3,200,E6
M9,DH10B,pS381,ara,10,0.3,200,E7
M9,DH10B,pS381_ara_mTagBFP2,ara,0,0,200,E8
M9,DH10B,pS381_ara_mTagBFP2,ara,0,0,200,E9
M9,DH10B,pS381_ara_mTagBFP2,ara,0,0,200,E10
M9,none,none,none,none,none,200,E11
,,,,,,,E12
,,,,,,,F1
M9,DH10B,pS381_ara_mTagBFP2,ara,2,0.00003,200,F2
M9,DH10B,pS381_ara_mTagBFP2,ara,2,0.00003,200,F3
M9,DH10B,pS381_ara_mTagBFP2,ara,2,0.00003,200,F4
M9,DH10B,pS381_ara_mTagBFP2,ara,3,0.0001,200,F5
M9,DH10B,pS381_ara_mTagBFP2,ara,3,0.0001,200,F6
M9,DH10B,pS381_ara_mTagBFP2,ara,3,0.0001,200,F7
M9,DH10B,pS381_ara_mTagBFP2,ara,4,0.0003,200,F8
M9,DH10B,pS381_ara_mTagBFP2,ara,4,0.0003,200,F9
M9,DH10B,pS381_ara_mTagBFP2,ara,4,0.0003,200,F10
M9,none,none,none,none,none,200,F11
,,,,,,,F12
,,,,,,,G1
M9,DH10B,pS381_ara_mTagBFP2,ara,5,0.001,200,G2
M9,DH10B,pS381_ara_mTagBFP2,ara,5,0.001,200,G3
M9,DH10B,pS381_ara_mTagBFP2,ara,5,0.001,200,G4
M9,DH10B,pS381_ara_mTagBFP2,ara,6,0.003,200,G5
M9,DH10B,pS381_ara_mTagBFP2,ara,6,0.003,200,G6
M9,DH10B,pS381_ara_mTagBFP2,ara,6,0.003,200,G7
M9,DH10B,pS381_ara_mTagBFP2,ara,7,0.01,200,G8
M9,DH10B,pS381_ara_mTagBFP2,ara,7,0.01,200,G9
M9,DH10B,pS381_ara_mTagBFP2,ara,7,0.01,200,G10
M9,none,none,none,none,none,200,G11
,,,,,,,G12
,,,,,,,H1
M9,DH10B,pS381_ara_mTagBFP2,ara,8,0.03,200,H2
M9,DH10B,pS381_ara_mTagBFP2,ara,8,0.03,200,H3
M9,DH10B,pS381_ara_mTagBFP2,ara,8,0.03,200,H4
M9,DH10B,pS381_ara_mTagBFP2,ara,9,0.1,200,H5
M9,DH10B,pS381_ara_mTagBFP2,ara,9,0.1,200,H6
M9,DH10B,pS381_ara_mTagBFP2,ara,9,0.1,200,H7
M9,DH10B,pS381_ara_mTagBFP2,ara,10,0.3,200,H8
M9,DH10B,pS381_ara_mTagBFP2,ara,10,0.3,200,H9
M9,DH10B,pS381_ara_mTagBFP2,ara,10,0.3,200,H10
M9,none,none,none,none,none,200,H11
,,,,,,,H12
