"media","strain","plasmid","inducer","ara_diln_index","ara_pc","volume","well","time","OD600","OD700","blue","bluelow","row","column"
"","","","","","",NA,"A1",0,NA,NA,NA,NA,"A",1
"M9","DH10B","pS361","ara","0","0",200,"A2",0,0.1255,0.1137,471,17,"A",2
"M9","DH10B","pS361","ara","0","0",200,"A3",0,0.1276,0.1121,472,17,"A",3
"M9","DH10B","pS361","ara","0","0",200,"A4",0,0.1323,0.1173,481,18,"A",4
"M9","DH10B","pS361","ara","10","0.3",200,"A5",0,0.1219,0.1088,479,17,"A",5
"M9","DH10B","pS361","ara","10","0.3",200,"A6",0,0.1294,0.1154,475,17,"A",6
"M9","DH10B","pS361","ara","10","0.3",200,"A7",0,0.129,0.1152,472,17,"A",7
"M9","DH10B","pS361_ara_mTagBFP2","ara","0","0",200,"A8",0,0.1282,0.1139,468,17,"A",8
"M9","DH10B","pS361_ara_mTagBFP2","ara","0","0",200,"A9",0,0.1228,0.109,466,17,"A",9
"M9","DH10B","pS361_ara_mTagBFP2","ara","0","0",200,"A10",0,0.1284,0.1144,469,17,"A",10
"M9","none","none","none","none","none",200,"A11",0,0.0969,0.091,473,17,"A",11
"","","","","","",NA,"A12",0,NA,NA,NA,NA,"A",12
"","","","","","",NA,"B1",0,NA,NA,NA,NA,"B",1
"M9","DH10B","pS361_ara_mTagBFP2","ara","2","0.00003",200,"B2",0,0.1283,0.1144,477,18,"B",2
"M9","DH10B","pS361_ara_mTagBFP2","ara","2","0.00003",200,"B3",0,0.1253,0.1123,477,17,"B",3
"M9","DH10B","pS361_ara_mTagBFP2","ara","2","0.00003",200,"B4",0,0.1263,0.1127,474,17,"B",4
"M9","DH10B","pS361_ara_mTagBFP2","ara","3","0.0001",200,"B5",0,0.1265,0.1122,474,17,"B",5
"M9","DH10B","pS361_ara_mTagBFP2","ara","3","0.0001",200,"B6",0,0.1283,0.115,475,17,"B",6
"M9","DH10B","pS361_ara_mTagBFP2","ara","3","0.0001",200,"B7",0,0.1241,0.1113,471,17,"B",7
"M9","DH10B","pS361_ara_mTagBFP2","ara","4","0.0003",200,"B8",0,0.128,0.1139,476,17,"B",8
