"protein","replicate","volume","dilution","well","blueblue090","row","column"
"mTagBFP2",1,200,1,"A1",50522,"A",1
"mTagBFP2",1,200,0.5,"A2",27526,"A",2
"mTagBFP2",1,200,0.25,"A3",15485,"A",3
"mTagBFP2",1,200,0.125,"A4",9504,"A",4
"mTagBFP2",1,200,0.0625,"A5",6530,"A",5
"mTagBFP2",1,200,0.03125,"A6",4945,"A",6
"mTagBFP2",1,200,0.015625,"A7",4166,"A",7
"mTagBFP2",1,200,0.0078125,"A8",3787,"A",8
"mTagBFP2",1,200,0.00390625,"A9",3604,"A",9
"mTagBFP2",1,200,0.001953125,"A10",3547,"A",10
"mTagBFP2",1,200,0.000976563,"A11",3502,"A",11
"none",1,200,0,"A12",3400,"A",12
"mTagBFP2",2,200,1,"B1",50846,"B",1
"mTagBFP2",2,200,0.5,"B2",29736,"B",2
"mTagBFP2",2,200,0.25,"B3",15475,"B",3
"mTagBFP2",2,200,0.125,"B4",9541,"B",4
"mTagBFP2",2,200,0.0625,"B5",6775,"B",5
"mTagBFP2",2,200,0.03125,"B6",5043,"B",6
"mTagBFP2",2,200,0.015625,"B7",4213,"B",7
"mTagBFP2",2,200,0.0078125,"B8",3798,"B",8
"mTagBFP2",2,200,0.00390625,"B9",3608,"B",9
"mTagBFP2",2,200,0.001953125,"B10",3506,"B",10
"mTagBFP2",2,200,0.000976563,"B11",3491,"B",11
"none",2,200,0,"B12",3593,"B",12
"",NA,NA,NA,"C1",NA,"C",1
"",NA,NA,NA,"C2",NA,"C",2
"",NA,NA,NA,"C3",NA,"C",3
"",NA,NA,NA,"C4",NA,"C",4
"",NA,NA,NA,"C5",NA,"C",5
"",NA,NA,NA,"C6",NA,"C",6
"",NA,NA,NA,"C7",NA,"C",7
"",NA,NA,NA,"C8",NA,"C",8
"",NA,NA,NA,"C9",NA,"C",9
"",NA,NA,NA,"C10",NA,"C",10
"",NA,NA,NA,"C11",NA,"C",11
"",NA,NA,NA,"C12",NA,"C",12
"",NA,NA,NA,"D1",NA,"D",1
"",NA,NA,NA,"D2",NA,"D",2
"",NA,NA,NA,"D3",NA,"D",3
"",NA,NA,NA,"D4",NA,"D",4
"",NA,NA,NA,"D5",NA,"D",5
"",NA,NA,NA,"D6",NA,"D",6
"",NA,NA,NA,"D7",NA,"D",7
"",NA,NA,NA,"D8",NA,"D",8
"",NA,NA,NA,"D9",NA,"D",9
"",NA,NA,NA,"D10",NA,"D",10
"",NA,NA,NA,"D11",NA,"D",11
"",NA,NA,NA,"D12",NA,"D",12
"",NA,NA,NA,"E1",NA,"E",1
"",NA,NA,NA,"E2",NA,"E",2
"",NA,NA,NA,"E3",NA,"E",3
"",NA,NA,NA,"E4",NA,"E",4
"",NA,NA,NA,"E5",NA,"E",5
"",NA,NA,NA,"E6",NA,"E",6
"",NA,NA,NA,"E7",NA,"E",7
"",NA,NA,NA,"E8",NA,"E",8
"",NA,NA,NA,"E9",NA,"E",9
"",NA,NA,NA,"E10",NA,"E",10
"",NA,NA,NA,"E11",NA,"E",11
"",NA,NA,NA,"E12",NA,"E",12
"",NA,NA,NA,"F1",NA,"F",1
"",NA,NA,NA,"F2",NA,"F",2
"",NA,NA,NA,"F3",NA,"F",3
"",NA,NA,NA,"F4",NA,"F",4
"",NA,NA,NA,"F5",NA,"F",5
"",NA,NA,NA,"F6",NA,"F",6
"",NA,NA,NA,"F7",NA,"F",7
"",NA,NA,NA,"F8",NA,"F",8
"",NA,NA,NA,"F9",NA,"F",9
"",NA,NA,NA,"F10",NA,"F",10
"",NA,NA,NA,"F11",NA,"F",11
"",NA,NA,NA,"F12",NA,"F",12
"",NA,NA,NA,"G1",NA,"G",1
"",NA,NA,NA,"G2",NA,"G",2
"",NA,NA,NA,"G3",NA,"G",3
"",NA,NA,NA,"G4",NA,"G",4
"",NA,NA,NA,"G5",NA,"G",5
"",NA,NA,NA,"G6",NA,"G",6
"",NA,NA,NA,"G7",NA,"G",7
"",NA,NA,NA,"G8",NA,"G",8
"",NA,NA,NA,"G9",NA,"G",9
"",NA,NA,NA,"G10",NA,"G",10
"",NA,NA,NA,"G11",NA,"G",11
"",NA,NA,NA,"G12",NA,"G",12
"",NA,NA,NA,"H1",NA,"H",1
"",NA,NA,NA,"H2",NA,"H",2
"",NA,NA,NA,"H3",NA,"H",3
"",NA,NA,NA,"H4",NA,"H",4
"",NA,NA,NA,"H5",NA,"H",5
"",NA,NA,NA,"H6",NA,"H",6
"",NA,NA,NA,"H7",NA,"H",7
"",NA,NA,NA,"H8",NA,"H",8
"",NA,NA,NA,"H9",NA,"H",9
"",NA,NA,NA,"H10",NA,"H",10
"",NA,NA,NA,"H11",NA,"H",11
"",NA,NA,NA,"H12",NA,"H",12
