"media","strain","plasmid","inducer","ara_diln_index","ara_pc","volume","well","time","OD600","OD700","blueblue","bluelow","row","column","normalised_OD","pathlength","normalised_OD_cm1","normalised_blueblue","flu_quench","corrected_normalised_blueblue","calibrated_OD","calibrated_mTagBFP2"
"","","","","","",NA,"A1",0,NA,NA,NA,NA,"A",1,NA,NA,NA,NA,NA,NA,NA,NA
"M9","DH10B","pS361","ara","0","0",200,"A2",0,0.1255,0.1137,471,17,"A",2,0.0245875,0.607201390705418,0.0404931549505105,6.59477887088542,0.977001730427724,6.75001759515643,24713228.0597399,74440839152.8519
"M9","DH10B","pS361","ara","0","0",200,"A3",0,0.1276,0.1121,472,17,"A",3,0.0229875,0.607201390705418,0.0378581148723889,7.09295033197452,0.977981978124021,7.25263909829946,23105046.4676471,79983871588.3648
"M9","DH10B","pS361","ara","0","0",200,"A4",0,0.1323,0.1173,481,18,"A",4,0.0281875,0.607201390705418,0.0464219951262843,17.7228836094893,0.974809694673171,18.1808651538199,28331636.6419489,200503011954.569
"M9","DH10B","pS361","ara","10","0.3",200,"A5",0,0.1219,0.1088,479,17,"A",5,0.0196875,0.607201390705418,0.0324233447112629,13.057670242878,0.980015523657973,13.3239422515874,19788171.9339555,146939682460.09
"M9","DH10B","pS361","ara","10","0.3",200,"A6",0,0.1294,0.1154,475,17,"A",6,0.0262875,0.607201390705418,0.0432928850335148,11.1277418083067,0.975964277473426,11.4017921200089,26421921.0013386,125741742342.846
"M9","DH10B","pS361","ara","10","0.3",200,"A7",0,0.129,0.1152,472,17,"A",7,0.0260875,0.607201390705418,0.0429635050237496,8.06505785206872,0.9760861143451,8.26264991739989,26220898.302327,91122517061.1182
"M9","DH10B","pS361_ara_mTagBFP2","ara","0","0",200,"A8",0,0.1282,0.1139,468,17,"A",8,0.0247875,0.607201390705418,0.0408225349602758,3.65749547132469,0.976879460425893,3.74406016247913,24914250.7587515,41290407973.707
"M9","DH10B","pS361_ara_mTagBFP2","ara","0","0",200,"A9",0,0.1228,0.109,466,17,"A",9,0.0198875,0.607201390705418,0.0327527247210281,0.120417717653993,0.97989182437551,0.122888786964557,19989194.6329671,1355247493.08533
"M9","DH10B","pS361_ara_mTagBFP2","ara","0","0",200,"A10",0,0.1284,0.1144,469,17,"A",10,0.0252875,0.607201390705418,0.0416459849846888,4.81427147693722,0.976574038519124,4.92975574513283,25416807.5062806,54366547836.795
"M9","none","none","none","none","none",200,"A11",0,0.0969,0.091,473,17,"A",11,0.0018875,0.607201390705418,0.00310852384215917,1.47314409361547,0.991264751247759,1.48612577191023,1897151.72192208,16389357211.0182
"","","","","","",NA,"A12",0,NA,NA,NA,NA,"A",12,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","",NA,"B1",0,NA,NA,NA,NA,"B",1,NA,NA,NA,NA,NA,NA,NA,NA
"M9","DH10B","pS361_ara_mTagBFP2","ara","2","0.00003",200,"B2",0,0.1283,0.1144,477,18,"B",2,0.0252875,0.607201390705418,0.0416459849846888,12.8142714769372,0.976574038519124,13.1216589541626,25416807.5062806,144708852955.629
"M9","DH10B","pS361_ara_mTagBFP2","ara","2","0.00003",200,"B3",0,0.1253,0.1123,477,17,"B",3,0.0231875,0.607201390705418,0.0381874948821541,12.1556862381008,0.977859243850801,12.430916120639,23306069.1666587,137091172639.771
"M9","DH10B","pS361_ara_mTagBFP2","ara","2","0.00003",200,"B4",0,0.1263,0.1127,474,17,"B",4,0.0235875,0.607201390705418,0.0388462549016845,9.28115278120691,0.977613949754593,9.49367875073461,23708114.5646819,104698603061.331
"M9","DH10B","pS361_ara_mTagBFP2","ara","3","0.0001",200,"B5",0,0.1265,0.1122,474,17,"B",5,0.0230875,0.607201390705418,0.0380228048772715,9.12431848670974,0.977920603714823,9.33032646213734,23205557.8171529,102897114210.48
"M9","DH10B","pS361_ara_mTagBFP2","ara","3","0.0001",200,"B6",0,0.1283,0.115,475,17,"B",6,0.0258875,0.607201390705418,0.0426341250139844,11.0023684974204,0.976208008849138,11.2705165268939,26019875.6033154,124294003107.503
"M9","DH10B","pS361_ara_mTagBFP2","ara","3","0.0001",200,"B7",0,0.1241,0.1113,471,17,"B",7,0.0221875,0.607201390705418,0.036540594833328,5.84199252727558,0.978473497576048,5.97051687321918,22300955.6716006,65844315211.5067
"M9","DH10B","pS361_ara_mTagBFP2","ara","4","0.0003",200,"B8",0,0.128,0.1139,476,17,"B",8,0.0247875,0.607201390705418,0.0408225349602758,11.6574954713247,0.976879460425893,11.9334021684132,24914250.7587515,131604467520.585
"M9","DH10B","pS361_ara_mTagBFP2","ara","4","0.0003",200,"B9",0,0.1324,0.1179,477,18,"B",9,0.0287875,0.607201390705418,0.04741013515558,13.9106449739417,0.974446164527426,14.2754371460715,28934704.7389838,157433000054.68
"M9","DH10B","pS361_ara_mTagBFP2","ara","4","0.0003",200,"B10",0,0.1228,0.109,471,17,"B",10,0.0198875,0.607201390705418,0.0327527247210281,5.12041771765399,0.97989182437551,5.22549284551615,19989194.6329671,57628008656.8324
"M9","none","none","none","none","none",200,"B11",0,0.0903,0.0858,475,17,"B",11,-0.0033125,0.607201390705418,-0.00545535641173629,1.84170948821225,0.99464287100775,1.85162890309189,-3329438.4523798,20420214822.0682
"","","","","","",NA,"B12",0,NA,NA,NA,NA,"B",12,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","",NA,"C1",0,NA,NA,NA,NA,"C",1,NA,NA,NA,NA,NA,NA,NA,NA
"M9","DH10B","pS361_ara_mTagBFP2","ara","5","0.001",200,"C2",0,0.123,0.1085,471,17,"C",2,0.0193875,0.607201390705418,0.0319292746966151,4.96354901564325,0.980201182862205,5.06380639242814,19486637.885438,55844891045.9751
