"media","strain","plasmid","inducer","ara_diln_index","ara_pc","volume","well","OD700","blueblue","row","column","normalised_OD","pathlength","normalised_OD_cm1","normalised_blueblue","flu_quench","corrected_normalised_blueblue","calibrated_OD","calibrated_mTagBFP2"
"","","","","","",NA,"A1",NA,NA,"A",1,NA,NA,NA,NA,NA,NA,NA,NA
"M9","DH10B","pS361","ara","0","0",200,"A2",0.5914,438,"A",2,0.505075,0.607201390705418,0.831808042160818,-40.75,0.793247899237185,-51.3710783718263,507657698.516447,-566532772437.469
"M9","DH10B","pS361","ara","0","0",200,"A3",0.5961,439,"A",3,0.509775,0.607201390705418,0.8395484723903,-39.75,0.792156731176879,-50.1794637797811,512381731.94322,-553391356296.231
"M9","DH10B","pS361","ara","0","0",200,"A4",0.6014,452,"A",4,0.515075,0.607201390705418,0.848277042649079,-26.75,0.790936750422733,-33.82065631127,517708833.467028,-372982440566.926
"M9","DH10B","pS361","ara","10","0.3",200,"A5",0.6003,442,"A",5,0.513975,0.607201390705418,0.84646545259537,-36.75,0.791189046139934,-46.4490758299758,516603208.622464,-512251728816.081
"M9","DH10B","pS361","ara","10","0.3",200,"A6",0.5996,443,"A",6,0.513275,0.607201390705418,0.845312622561192,-35.75,0.791349844893492,-45.1759739774911,515899629.175923,-498211651306.651
"M9","DH10B","pS361","ara","10","0.3",200,"A7",0.6,442,"A",7,0.513675,0.607201390705418,0.845971382580722,-36.75,0.791257936348984,-46.4450317801191,516301674.573947,-512207130048.646
"M9","DH10B","pS361_ara_mTagBFP2","ara","0","0",200,"A8",0.6001,441,"A",8,0.513775,0.607201390705418,0.846136072585605,-37.75,0.79123496902371,-47.7102270221689,516402185.923452,-526160011531.202
"M9","DH10B","pS361_ara_mTagBFP2","ara","0","0",200,"A9",0.5928,437,"A",9,0.506475,0.607201390705418,0.834113702229175,-41.75,0.792921950451765,-52.6533538089254,509064857.409529,-580674018473.811
"M9","DH10B","pS361_ara_mTagBFP2","ara","0","0",200,"A10",0.5911,438,"A",10,0.504775,0.607201390705418,0.83131397214617,-40.75,0.79331784735169,-51.3665489009664,507356164.46793,-566482820328.904
"M9","none","none","none","none","none",200,"A11",0.0876,483,"A",11,0.001275,0.607201390705418,0.00209979756225321,4.25,0.99166045476766,4.28574113202462,1281519.70619902,47264197724.2746
"","","","","","",NA,"A12",NA,NA,"A",12,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","",NA,"B1",NA,NA,"B",1,NA,NA,NA,NA,NA,NA,NA,NA
"M9","DH10B","pS361_ara_mTagBFP2","ara","2","0.00003",200,"B2",0.6107,1297,"B",2,0.524375,0.607201390705418,0.863593213103161,818.25,0.78882250136898,1037.30560243901,527056388.971068,11439658995692.6
"M9","DH10B","pS361_ara_mTagBFP2","ara","2","0.00003",200,"B3",0.6017,1316,"B",3,0.515375,0.607201390705418,0.848771112663727,837.25,0.79086802467996,1058.64692195491,518010367.515545,11675016268617.7
"M9","DH10B","pS361_ara_mTagBFP2","ara","2","0.00003",200,"B4",0.6078,1337,"B",4,0.521475,0.607201390705418,0.858817202961565,858.25,0.789478196819032,1087.11045277509,524141559.835399,11988919023630.9
"M9","DH10B","pS361_ara_mTagBFP2","ara","3","0.0001",200,"B5",0.6108,2474,"B",5,0.524475,0.607201390705418,0.863757903108044,1995.25,0.788799948741775,2529.47531650154,527156900.320574,27895670273795.3
"M9","DH10B","pS361_ara_mTagBFP2","ara","3","0.0001",200,"B6",0.6051,2363,"B",6,0.518775,0.607201390705418,0.854370572829735,1884.25,0.790091585479507,2384.85010425272,521427753.398743,26300708185076.2
"M9","DH10B","pS361_ara_mTagBFP2","ara","3","0.0001",200,"B7",0.6054,2471,"B",7,0.519075,0.607201390705418,0.854864642844383,1992.25,0.790023291884969,2521.76109295026,521729287.44726,27810595936362.1
"M9","DH10B","pS361_ara_mTagBFP2","ara","4","0.0003",200,"B8",0.5846,3270,"B",8,0.498275,0.607201390705418,0.820609121828801,2791.25,0.794842280715127,3511.70297268118,500822926.750053,38727916254549.1
"M9","DH10B","pS361_ara_mTagBFP2","ara","4","0.0003",200,"B9",0.5808,3546,"B",9,0.494475,0.607201390705418,0.814350901643262,3067.25,0.795741425101734,3854.58127884678,497003495.468832,42509261781202.4
"M9","DH10B","pS361_ara_mTagBFP2","ara","4","0.0003",200,"B10",0.5729,3458,"B",10,0.486575,0.607201390705418,0.801340391257536,2979.25,0.797629706330258,3735.1291913474,489063098.857873,41191915047411
"M9","none","none","none","none","none",200,"B11",0.0856,480,"B",11,-0.000725000000000003,0.607201390705418,-0.00119400253539889,1.25,0.992956627520146,1.25886666683701,-728707.283917094,13883088412.7093
"","","","","","",NA,"B12",NA,NA,"B",12,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","",NA,"C1",NA,NA,"C",1,NA,NA,NA,NA,NA,NA,NA,NA
"M9","DH10B","pS361_ara_mTagBFP2","ara","5","0.001",200,"C2",0.5315,4554,"C",2,0.445175,0.607201390705418,0.733158729236138,4075.25,0.807962704088337,5043.85905361597,447451400.16247,55624906931991.6
"M9","DH10B","pS361_ara_mTagBFP2","ara","5","0.001",200,"C3",0.5327,4719,"C",3,0.446375,0.607201390705418,0.735135009294729,4240.25,0.807652463456865,5250.09232541821,448657536.356539,57899297716574.6
"M9","DH10B","pS361_ara_mTagBFP2","ara","5","0.001",200,"C4",0.5358,4739,"C",4,0.449475,0.607201390705418,0.74024039944609,4260.25,0.806854061260601,5280.07505266062,451773388.19122,58229954539990.5
"M9","DH10B","pS361_ara_mTagBFP2","ara","6","0.003",200,"C5",0.5279,6791,"C",5,0.441575,0.607201390705418,0.727229889060364,6312.25,0.808897408129983,7803.52358229546,443832991.580261,86059159939372
"M9","DH10B","pS361_ara_mTagBFP2","ara","6","0.003",200,"C6",0.523,6933,"C",6,0.436675,0.607201390705418,0.719160078821116,6454.25,0.810179316365641,7966.4462787731,438907935.454476,87855911143627.3
"M9","DH10B","pS361_ara_mTagBFP2","ara","6","0.003",200,"C7",0.5175,7230,"C",7,0.431175,0.607201390705418,0.710102128552573,6751.25,0.811631624595576,8318.12092507367,433379811.231657,91734264853131.9
"M9","DH10B","pS361_ara_mTagBFP2","ara","7","0.01",200,"C8",0.5109,8936,"C",8,0.424575,0.607201390705418,0.699232588230321,8457.25,0.813393402513209,10397.4902843679,426746062.164274,114666056931075
"M9","DH10B","pS361_ara_mTagBFP2","ara","7","0.01",200,"C9",0.501,9415,"C",9,0.414675,0.607201390705418,0.682928277746943,8936.25,0.816075639301449,10950.2717268332,416795438.563199,120762265402409
"M9","DH10B","pS361_ara_mTagBFP2","ara","7","0.01",200,"C10",0.5136,8579,"C",10,0.427275,0.607201390705418,0.703679218362151,8100.25,0.81267015004288,9967.45112340179,429459868.600931,109923480254850
"M9","none","none","none","none","none",200,"C11",0.0858,468,"C",11,-0.000524999999999998,0.607201390705418,-0.000864622525633673,-10.75,0.992826728432484,-10.8276698160338,-527684.584905477,-119410181649.591
"","","","","","",NA,"C12",NA,NA,"C",12,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","",NA,"D1",NA,NA,"D",1,NA,NA,NA,NA,NA,NA,NA,NA
"M9","DH10B","pS361_ara_mTagBFP2","ara","8","0.03",200,"D2",0.5057,9619,"D",2,0.419375,0.607201390705418,0.690668707976426,9140.25,0.81479627773376,11217.8347518012,421519471.989972,123713015652184
"M9","DH10B","pS361_ara_mTagBFP2","ara","8","0.03",200,"D3",0.4991,9909,"D",3,0.412775,0.607201390705418,0.679799167654173,9430.25,0.816595923658293,11548.2452542172,414885722.922589,127356863200435
"M9","DH10B","pS361_ara_mTagBFP2","ara","8","0.03",200,"D4",0.5059,9761,"D",4,0.419575,0.607201390705418,0.690998087986191,9282.25,0.814742077421041,11392.8692984432,421720494.688984,125643339291950
"M9","DH10B","pS361_ara_mTagBFP2","ara","9","0.1",200,"D5",0.5126,10704,"D",5,0.426275,0.607201390705418,0.702032318313325,10225.25,0.812937612064455,12578.1484928874,428454755.105873,138714887124382
"M9","DH10B","pS361_ara_mTagBFP2","ara","9","0.1",200,"D6",0.5046,10718,"D",6,0.418275,0.607201390705418,0.688857117922717,10239.25,0.815094729526108,12562.0368149762,420413847.145408,138537203613641
"M9","DH10B","pS361_ara_mTagBFP2","ara","9","0.1",200,"D7",0.5056,10659,"D",7,0.419275,0.607201390705418,0.690504017971543,10180.25,0.814823385228404,12493.8117689717,421418960.640466,137784801178504
"M9","DH10B","pS361_ara_mTagBFP2","ara","10","0.3",200,"D8",0.5053,10113,"D",8,0.418975,0.607201390705418,0.690009947956895,9634.25,0.814904737079604,11822.5475465102,421117426.591949,130381935732763
"M9","DH10B","pS361_ara_mTagBFP2","ara","10","0.3",200,"D9",0.5084,10196,"D",9,0.422075,0.607201390705418,0.695115338108256,9717.25,0.814066220924619,11936.682483844,424233278.426629,131640643638634
"M9","DH10B","pS361_ara_mTagBFP2","ara","10","0.3",200,"D10",0.5113,10103,"D",10,0.424975,0.607201390705418,0.699891348249851,9624.25,0.813286032284934,11833.782479899,427148107.562297,130505837316352
"M9","none","none","none","none","none",200,"D11",0.0896,484,"D",11,0.003275,0.607201390705418,0.00539359765990532,5.25,0.9903705190626,5.30104632453034,3291746.69631513,58461230837.2856
"","","","","","",NA,"D12",NA,NA,"D",12,NA,NA,NA,NA,NA,NA,NA,NA
"","","","","","",NA,"E1",NA,NA,"E",1,NA,NA,NA,NA,NA,NA,NA,NA
"M9","DH10B","pS381","ara","0","0",200,"E2",0.5971,440,"E",2,0.510775,0.607201390705418,0.841195372439127,-38.75,0.791925699117054,-48.9313581352439,513386845.438278,-539626943060.119
"M9","DH10B","pS381","ara","0","0",200,"E3",0.5897,444,"E",3,0.503375,0.607201390705418,0.829008312077814,-34.75,0.793644748761552,-43.7853334936392,505949005.574849,-482875329124.003
"M9","DH10B","pS381","ara","0","0",200,"E4",0.5854,441,"E",4,0.499075,0.607201390705418,0.821926641867862,-37.75,0.794653736682607,-47.5049675819718,501627017.546099,-523896360398.902
"M9","DH10B","pS381","ara","10","0.3",200,"E5",0.612,447,"E",5,0.525675,0.607201390705418,0.865734183166635,-31.75,0.788529615583516,-40.264816149619,528363036.514643,-444050205834.089
"M9","DH10B","pS381","ara","10","0.3",200,"E6",0.9924,516,"E",6,0.906075,0.607201390705418,1.49221496174006,37.25,0.724313379996142,51.4280158682122,910708210.034727,567160693024.412
